Wall time,Step,Value
1764872483.635674,18,2.082396984100342
1764872486.652834,42,2.09085750579834
1764872487.031633,45,2.0099093914031982
1764872490.415144,71,2.06890869140625
1764872493.377569,94,2.023413896560669
1764872501.075666,155,1.8296313285827637
1764872501.45008,158,2.078367233276367
1764872502.576381,167,1.997287392616272
1764872510.347179,229,2.049288034439087
1764872510.978521,234,2.0627517700195312
1764872513.642803,255,1.7737481594085693
1764872515.149151,267,1.8022540807724
1764872515.902874,273,1.668155312538147
1764872520.25633,308,1.8014285564422607
1764872520.506979,310,1.9809882640838623
1764872521.501321,318,1.6677743196487427
1764872525.253951,347,1.7022643089294434
1764872527.738314,367,1.896234393119812
1764872534.551557,421,1.5384612083435059
1764872539.429357,460,1.6004129648208618
1764872541.17012,474,1.6245105266571045
1764872548.886527,536,1.9376691579818726
1764872552.237228,563,1.9991780519485474
1764872554.3068318,579,1.6188111305236816
1764872555.185338,586,1.6052024364471436
1764872555.309077,587,1.5347676277160645
1764872559.430223,620,1.7737231254577637
1764872561.171255,634,1.5501443147659302
1764872562.795085,647,1.1274470090866089
1764872564.5545878,661,1.6726043224334717
1764872565.830567,671,2.165290355682373
1764872571.253289,714,2.2045044898986816
1764872572.253665,722,2.320652961730957
1764872573.268693,730,1.3451679944992065
1764872577.679329,765,1.7624993324279785
1764872578.177545,769,1.3922545909881592
1764872578.4269,771,1.8260787725448608
1764872580.187843,785,1.5595660209655762
1764872580.469194,787,1.608388900756836
1764872581.339926,794,1.8032509088516235
1764872582.340168,802,1.7698479890823364
1764872583.0866141,808,1.5069842338562012
1764872586.822582,836,1.9511362314224243
1764872600.6297789,945,1.7210122346878052
1764872603.945334,971,1.2848608493804932
1764872604.0737002,972,1.2794744968414307
1764872604.822061,978,1.5616612434387207
1764872605.576684,984,1.571168303489685
1764872607.8398569,1002,1.648098349571228
1764872608.2217119,1005,1.715722918510437
1764872609.3710458,1014,1.6221407651901245
1764872615.5056021,1063,1.3459057807922363
1764872615.884537,1066,1.3238691091537476
1764872617.383052,1078,1.5218408107757568
1764872619.368315,1093,1.6107906103134155
1764872620.149087,1099,1.4112292528152466
1764872620.780982,1104,1.8039178848266602
1764872627.322849,1156,1.4794435501098633
1764872627.953465,1161,1.288487195968628
1764872628.079447,1162,1.5813894271850586
1764872630.32204,1180,1.3878449201583862
1764872631.941142,1193,1.2149417400360107
1764872638.287507,1244,1.5413612127304077
1764872640.5100732,1261,1.4807467460632324
1764872647.484033,1316,1.6145987510681152
1764872647.857759,1319,1.5683623552322388
1764872649.600128,1333,1.8663673400878906
1764872650.1004732,1337,1.6773122549057007
1764872656.198281,1385,1.5729787349700928
1764872657.076171,1392,1.3896546363830566
1764872659.83621,1414,1.425316572189331
1764872661.3634079,1426,2.2754621505737305
1764872662.634509,1436,1.5037471055984497
1764872666.411453,1466,2.0752663612365723
1764872667.7976289,1477,1.6725026369094849
1764872669.547179,1491,1.4636861085891724
1764872673.640152,1523,1.4646408557891846
1764872677.2911649,1552,1.3746178150177002
1764872679.31796,1568,1.5183889865875244
1764872681.340418,1584,1.4569387435913086
1764872681.843313,1588,1.336308240890503
1764872684.012392,1605,1.5264756679534912
1764872688.470556,1640,1.4587421417236328
1764872693.828105,1682,1.3847150802612305
1764872695.069354,1691,1.643255352973938
1764872696.468954,1702,1.2865499258041382
1764872697.367775,1709,1.6502660512924194
1764872698.4974442,1718,1.536049246788025
1764872700.265565,1732,1.3856006860733032
1764872700.5225012,1734,1.3405166864395142
1764872700.902703,1737,1.7761611938476562
1764872706.609319,1781,1.583961009979248
1764872712.273139,1826,1.286904215812683
1764872714.528616,1844,1.3195078372955322
1764872715.6572459,1853,1.4986789226531982
1764872717.301311,1866,1.5473313331604004
1764872717.679036,1869,1.280521035194397
1764872718.6766798,1877,1.5568369626998901
1764872723.687974,1917,1.3162899017333984
1764872725.837811,1934,1.6032240390777588
1764872727.15605,1944,1.1169769763946533
1764872727.539932,1947,1.2861908674240112
1764872734.409164,2001,1.452964425086975
1764872735.938498,2013,1.1730157136917114
1764872738.846643,2036,1.612152099609375
1764872743.923483,2076,2.3822154998779297
1764872744.047012,2077,1.263454556465149
1764872745.0672011,2085,0.9862138628959656
1764872745.569185,2089,1.7300697565078735
1764872746.442177,2096,1.565137267112732
1764872753.15378,2149,1.326930046081543
1764872754.030421,2156,1.4258298873901367
1764872757.958915,2187,1.3467875719070435
1764872758.547182,2191,0.9552695751190186
1764872759.5627499,2199,1.5430080890655518
1764872760.6010969,2207,1.228139042854309
1764872761.115453,2211,1.557119607925415
1764872763.646215,2231,1.3668711185455322
1764872764.271101,2236,1.6951812505722046
1764872764.396082,2237,1.573594570159912
1764872766.906023,2257,1.8262807130813599
1764872767.530784,2262,1.5738104581832886
1764872769.913099,2281,1.3576713800430298
1764872771.916863,2297,1.4144506454467773
1764872773.1837661,2307,1.1984243392944336
1764872774.6840808,2319,0.9202110171318054
1764872777.987864,2345,1.5525809526443481
1764872779.130348,2354,1.1853511333465576
1764872783.70545,2389,1.4553966522216797
1764872783.832366,2390,1.8164771795272827
1764872784.089643,2392,1.2177338600158691
1764872789.655885,2436,1.5435545444488525
1764872790.7656121,2444,1.642378568649292
1764872791.9518452,2453,1.5276784896850586
