track_id,genre,file_path,class
2,Hip-Hop,data/fma_small/000/000002.mp3,0
5,Hip-Hop,data/fma_small/000/000005.mp3,0
10,Pop,data/fma_small/000/000010.mp3,1
140,Folk,data/fma_small/000/000140.mp3,2
141,Folk,data/fma_small/000/000141.mp3,2
148,Experimental,data/fma_small/000/000148.mp3,3
182,Rock,data/fma_small/000/000182.mp3,4
190,Folk,data/fma_small/000/000190.mp3,2
193,Folk,data/fma_small/000/000193.mp3,2
194,Folk,data/fma_small/000/000194.mp3,2
197,Folk,data/fma_small/000/000197.mp3,2
200,Folk,data/fma_small/000/000200.mp3,2
203,Folk,data/fma_small/000/000203.mp3,2
204,Folk,data/fma_small/000/000204.mp3,2
207,Folk,data/fma_small/000/000207.mp3,2
210,Folk,data/fma_small/000/000210.mp3,2
211,Folk,data/fma_small/000/000211.mp3,2
212,Folk,data/fma_small/000/000212.mp3,2
213,Pop,data/fma_small/000/000213.mp3,1
255,Rock,data/fma_small/000/000255.mp3,4
256,Rock,data/fma_small/000/000256.mp3,4
368,Rock,data/fma_small/000/000368.mp3,4
424,Experimental,data/fma_small/000/000424.mp3,3
459,Rock,data/fma_small/000/000459.mp3,4
534,Folk,data/fma_small/000/000534.mp3,2
540,Folk,data/fma_small/000/000540.mp3,2
546,Folk,data/fma_small/000/000546.mp3,2
574,Rock,data/fma_small/000/000574.mp3,4
602,Folk,data/fma_small/000/000602.mp3,2
615,Experimental,data/fma_small/000/000615.mp3,3
620,Folk,data/fma_small/000/000620.mp3,2
621,Folk,data/fma_small/000/000621.mp3,2
625,Folk,data/fma_small/000/000625.mp3,2
666,International,data/fma_small/000/000666.mp3,5
667,International,data/fma_small/000/000667.mp3,5
676,Hip-Hop,data/fma_small/000/000676.mp3,0
690,Rock,data/fma_small/000/000690.mp3,4
694,Hip-Hop,data/fma_small/000/000694.mp3,0
695,Hip-Hop,data/fma_small/000/000695.mp3,0
704,International,data/fma_small/000/000704.mp3,5
705,International,data/fma_small/000/000705.mp3,5
706,International,data/fma_small/000/000706.mp3,5
707,International,data/fma_small/000/000707.mp3,5
708,International,data/fma_small/000/000708.mp3,5
709,International,data/fma_small/000/000709.mp3,5
714,Folk,data/fma_small/000/000714.mp3,2
715,Folk,data/fma_small/000/000715.mp3,2
716,Folk,data/fma_small/000/000716.mp3,2
718,Folk,data/fma_small/000/000718.mp3,2
777,Rock,data/fma_small/000/000777.mp3,4
814,Folk,data/fma_small/000/000814.mp3,2
821,Pop,data/fma_small/000/000821.mp3,1
822,Pop,data/fma_small/000/000822.mp3,1
825,Rock,data/fma_small/000/000825.mp3,4
853,International,data/fma_small/000/000853.mp3,5
890,Folk,data/fma_small/000/000890.mp3,2
892,Folk,data/fma_small/000/000892.mp3,2
897,Experimental,data/fma_small/000/000897.mp3,3
993,Rock,data/fma_small/000/000993.mp3,4
995,Experimental,data/fma_small/000/000995.mp3,3
997,Experimental,data/fma_small/000/000997.mp3,3
998,Experimental,data/fma_small/000/000998.mp3,3
1039,Rock,data/fma_small/001/001039.mp3,4
1040,Rock,data/fma_small/001/001040.mp3,4
1066,Experimental,data/fma_small/001/001066.mp3,3
1069,Experimental,data/fma_small/001/001069.mp3,3
1073,Experimental,data/fma_small/001/001073.mp3,3
1075,Experimental,data/fma_small/001/001075.mp3,3
1082,International,data/fma_small/001/001082.mp3,5
1083,Experimental,data/fma_small/001/001083.mp3,3
1087,Rock,data/fma_small/001/001087.mp3,4
1102,Rock,data/fma_small/001/001102.mp3,4
1193,Folk,data/fma_small/001/001193.mp3,2
1195,Folk,data/fma_small/001/001195.mp3,2
1196,Folk,data/fma_small/001/001196.mp3,2
1197,Folk,data/fma_small/001/001197.mp3,2
1249,Experimental,data/fma_small/001/001249.mp3,3
1259,Experimental,data/fma_small/001/001259.mp3,3
1270,Rock,data/fma_small/001/001270.mp3,4
1276,Experimental,data/fma_small/001/001276.mp3,3
1277,Experimental,data/fma_small/001/001277.mp3,3
1278,Experimental,data/fma_small/001/001278.mp3,3
1417,Rock,data/fma_small/001/001417.mp3,4
1427,Rock,data/fma_small/001/001427.mp3,4
1443,Experimental,data/fma_small/001/001443.mp3,3
1482,Electronic,data/fma_small/001/001482.mp3,6
1510,Experimental,data/fma_small/001/001510.mp3,3
1544,Folk,data/fma_small/001/001544.mp3,2
1642,Pop,data/fma_small/001/001642.mp3,1
1644,Pop,data/fma_small/001/001644.mp3,1
1649,Pop,data/fma_small/001/001649.mp3,1
1661,Pop,data/fma_small/001/001661.mp3,1
1663,Pop,data/fma_small/001/001663.mp3,1
1666,Pop,data/fma_small/001/001666.mp3,1
1673,Experimental,data/fma_small/001/001673.mp3,3
1680,International,data/fma_small/001/001680.mp3,5
1681,International,data/fma_small/001/001681.mp3,5
1682,International,data/fma_small/001/001682.mp3,5
1683,International,data/fma_small/001/001683.mp3,5
