track_id,genre,file_path,class,mel_spec_file_path
121915,International,data/fma_small/121/121915.mp3,5,data/mels/121915.npy
125312,International,data/fma_small/125/125312.mp3,5,data/mels/125312.npy
114077,Instrumental,data/fma_small/114/114077.mp3,7,data/mels/114077.npy
44354,Experimental,data/fma_small/044/044354.mp3,3,data/mels/44354.npy
41965,Rock,data/fma_small/041/041965.mp3,4,data/mels/41965.npy
3274,Folk,data/fma_small/003/003274.mp3,2,data/mels/3274.npy
25234,International,data/fma_small/025/025234.mp3,5,data/mels/25234.npy
82920,Instrumental,data/fma_small/082/082920.mp3,7,data/mels/82920.npy
55710,Rock,data/fma_small/055/055710.mp3,4,data/mels/55710.npy
99395,International,data/fma_small/099/099395.mp3,5,data/mels/99395.npy
70774,Hip-Hop,data/fma_small/070/070774.mp3,0,data/mels/70774.npy
148124,Instrumental,data/fma_small/148/148124.mp3,7,data/mels/148124.npy
92283,Electronic,data/fma_small/092/092283.mp3,6,data/mels/92283.npy
97043,Hip-Hop,data/fma_small/097/097043.mp3,0,data/mels/97043.npy
37779,Experimental,data/fma_small/037/037779.mp3,3,data/mels/37779.npy
93523,Electronic,data/fma_small/093/093523.mp3,6,data/mels/93523.npy
24431,Hip-Hop,data/fma_small/024/024431.mp3,0,data/mels/24431.npy
67661,Rock,data/fma_small/067/067661.mp3,4,data/mels/67661.npy
75401,Hip-Hop,data/fma_small/075/075401.mp3,0,data/mels/75401.npy
16994,Rock,data/fma_small/016/016994.mp3,4,data/mels/16994.npy
115888,Instrumental,data/fma_small/115/115888.mp3,7,data/mels/115888.npy
11818,Hip-Hop,data/fma_small/011/011818.mp3,0,data/mels/11818.npy
110259,Hip-Hop,data/fma_small/110/110259.mp3,0,data/mels/110259.npy
3832,Folk,data/fma_small/003/003832.mp3,2,data/mels/3832.npy
72926,Experimental,data/fma_small/072/072926.mp3,3,data/mels/72926.npy
13191,Pop,data/fma_small/013/013191.mp3,1,data/mels/13191.npy
46161,Experimental,data/fma_small/046/046161.mp3,3,data/mels/46161.npy
704,International,data/fma_small/000/000704.mp3,5,data/mels/704.npy
50323,Folk,data/fma_small/050/050323.mp3,2,data/mels/50323.npy
55718,Rock,data/fma_small/055/055718.mp3,4,data/mels/55718.npy
124971,Experimental,data/fma_small/124/124971.mp3,3,data/mels/124971.npy
63226,Pop,data/fma_small/063/063226.mp3,1,data/mels/63226.npy
138067,Pop,data/fma_small/138/138067.mp3,1,data/mels/138067.npy
126185,Instrumental,data/fma_small/126/126185.mp3,7,data/mels/126185.npy
124754,Electronic,data/fma_small/124/124754.mp3,6,data/mels/124754.npy
4778,Rock,data/fma_small/004/004778.mp3,4,data/mels/4778.npy
121985,Experimental,data/fma_small/121/121985.mp3,3,data/mels/121985.npy
10388,Folk,data/fma_small/010/010388.mp3,2,data/mels/10388.npy
60074,Experimental,data/fma_small/060/060074.mp3,3,data/mels/60074.npy
108847,Hip-Hop,data/fma_small/108/108847.mp3,0,data/mels/108847.npy
47260,Electronic,data/fma_small/047/047260.mp3,6,data/mels/47260.npy
133435,Instrumental,data/fma_small/133/133435.mp3,7,data/mels/133435.npy
130454,Hip-Hop,data/fma_small/130/130454.mp3,0,data/mels/130454.npy
149626,Hip-Hop,data/fma_small/149/149626.mp3,0,data/mels/149626.npy
69747,Pop,data/fma_small/069/069747.mp3,1,data/mels/69747.npy
108880,Instrumental,data/fma_small/108/108880.mp3,7,data/mels/108880.npy
143221,Rock,data/fma_small/143/143221.mp3,4,data/mels/143221.npy
44952,International,data/fma_small/044/044952.mp3,5,data/mels/44952.npy
69209,Electronic,data/fma_small/069/069209.mp3,6,data/mels/69209.npy
71250,Hip-Hop,data/fma_small/071/071250.mp3,0,data/mels/71250.npy
51005,International,data/fma_small/051/051005.mp3,5,data/mels/51005.npy
121867,Rock,data/fma_small/121/121867.mp3,4,data/mels/121867.npy
126289,Instrumental,data/fma_small/126/126289.mp3,7,data/mels/126289.npy
63803,Hip-Hop,data/fma_small/063/063803.mp3,0,data/mels/63803.npy
108155,Rock,data/fma_small/108/108155.mp3,4,data/mels/108155.npy
137561,Experimental,data/fma_small/137/137561.mp3,3,data/mels/137561.npy
143058,Electronic,data/fma_small/143/143058.mp3,6,data/mels/143058.npy
122934,Folk,data/fma_small/122/122934.mp3,2,data/mels/122934.npy
127155,Experimental,data/fma_small/127/127155.mp3,3,data/mels/127155.npy
119828,Instrumental,data/fma_small/119/119828.mp3,7,data/mels/119828.npy
98228,Electronic,data/fma_small/098/098228.mp3,6,data/mels/98228.npy
64628,Hip-Hop,data/fma_small/064/064628.mp3,0,data/mels/64628.npy
63208,Folk,data/fma_small/063/063208.mp3,2,data/mels/63208.npy
81803,Instrumental,data/fma_small/081/081803.mp3,7,data/mels/81803.npy
60537,International,data/fma_small/060/060537.mp3,5,data/mels/60537.npy
16822,Rock,data/fma_small/016/016822.mp3,4,data/mels/16822.npy
4777,Rock,data/fma_small/004/004777.mp3,4,data/mels/4777.npy
70878,Pop,data/fma_small/070/070878.mp3,1,data/mels/70878.npy
51291,Pop,data/fma_small/051/051291.mp3,1,data/mels/51291.npy
62185,International,data/fma_small/062/062185.mp3,5,data/mels/62185.npy
126676,Rock,data/fma_small/126/126676.mp3,4,data/mels/126676.npy
10676,Rock,data/fma_small/010/010676.mp3,4,data/mels/10676.npy
38435,Rock,data/fma_small/038/038435.mp3,4,data/mels/38435.npy
134073,Folk,data/fma_small/134/134073.mp3,2,data/mels/134073.npy
131984,Instrumental,data/fma_small/131/131984.mp3,7,data/mels/131984.npy
76654,Electronic,data/fma_small/076/076654.mp3,6,data/mels/76654.npy
114235,Instrumental,data/fma_small/114/114235.mp3,7,data/mels/114235.npy
85836,Electronic,data/fma_small/085/085836.mp3,6,data/mels/85836.npy
149700,Electronic,data/fma_small/149/149700.mp3,6,data/mels/149700.npy
6459,International,data/fma_small/006/006459.mp3,5,data/mels/6459.npy
118085,Experimental,data/fma_small/118/118085.mp3,3,data/mels/118085.npy
54438,International,data/fma_small/054/054438.mp3,5,data/mels/54438.npy
84056,Experimental,data/fma_small/084/084056.mp3,3,data/mels/84056.npy
62591,International,data/fma_small/062/062591.mp3,5,data/mels/62591.npy
133770,Experimental,data/fma_small/133/133770.mp3,3,data/mels/133770.npy
73467,Pop,data/fma_small/073/073467.mp3,1,data/mels/73467.npy
62452,Pop,data/fma_small/062/062452.mp3,1,data/mels/62452.npy
110438,Folk,data/fma_small/110/110438.mp3,2,data/mels/110438.npy
709,International,data/fma_small/000/000709.mp3,5,data/mels/709.npy
126214,Instrumental,data/fma_small/126/126214.mp3,7,data/mels/126214.npy
45154,Electronic,data/fma_small/045/045154.mp3,6,data/mels/45154.npy
14571,Instrumental,data/fma_small/014/014571.mp3,7,data/mels/14571.npy
55240,International,data/fma_small/055/055240.mp3,5,data/mels/55240.npy
75377,Hip-Hop,data/fma_small/075/075377.mp3,0,data/mels/75377.npy
68853,Folk,data/fma_small/068/068853.mp3,2,data/mels/68853.npy
69002,Experimental,data/fma_small/069/069002.mp3,3,data/mels/69002.npy
32686,Hip-Hop,data/fma_small/032/032686.mp3,0,data/mels/32686.npy
61668,Hip-Hop,data/fma_small/061/061668.mp3,0,data/mels/61668.npy
3896,International,data/fma_small/003/003896.mp3,5,data/mels/3896.npy
124477,Pop,data/fma_small/124/124477.mp3,1,data/mels/124477.npy
116453,Folk,data/fma_small/116/116453.mp3,2,data/mels/116453.npy
4799,Rock,data/fma_small/004/004799.mp3,4,data/mels/4799.npy
21999,Pop,data/fma_small/021/021999.mp3,1,data/mels/21999.npy
43962,Folk,data/fma_small/043/043962.mp3,2,data/mels/43962.npy
6342,International,data/fma_small/006/006342.mp3,5,data/mels/6342.npy
10669,Rock,data/fma_small/010/010669.mp3,4,data/mels/10669.npy
11683,International,data/fma_small/011/011683.mp3,5,data/mels/11683.npy
134486,Pop,data/fma_small/134/134486.mp3,1,data/mels/134486.npy
112780,Experimental,data/fma_small/112/112780.mp3,3,data/mels/112780.npy
125185,Folk,data/fma_small/125/125185.mp3,2,data/mels/125185.npy
